dataset_size,test_count,dependency_count,manual_time,time_scheduling,sequence_scheduling,time_success,sequence_success,time_improvement,sequence_improvement
small,8,6,1800,0.07741260528564453,0.0004138946533203125,True,True,23252.02715188548,4348932.7188940095
medium,25,15,7200,0.04738020896911621,0.0010957717895507812,True,True,151962.1832966834,6570711.227154047
large,100,80,28800,0.23120570182800293,0.025660037994384766,True,True,124564.40205538145,1122367.7847360303
